,NAME,S1901_C01_001E
1447, 78593,1528
1448, 78594,552
1449, 78595,1707
1450, 78596,18821
1451, 78597,1527
1452, 78598,45
1453, 78602,8931
1454, 78605,1991
1455, 78606,2029
1456, 78607,32
1457, 78608,192
1458, 78609,877
1459, 78610,12084
1460, 78611,4743
1461, 78612,3919
1462, 78613,26122
1463, 78614,237
1464, 78615,398
1465, 78616,2468
1466, 78617,6501
1467, 78618,127
1468, 78619,1556
1469, 78620,5805
1470, 78621,6957
1471, 78622,79
1472, 78623,353
1473, 78624,8978
1474, 78626,10458
1475, 78628,11546
1476, 78629,4284
1477, 78631,1084
1478, 78632,402
1479, 78633,11702
1480, 78634,9300
1481, 78635,128
1482, 78636,1571
1483, 78638,892
1484, 78639,3306
1485, 78640,17378
1486, 78641,20060
1487, 78642,3639
1488, 78643,2253
1489, 78644,6000
1490, 78645,4634
1491, 78648,2964
1492, 78650,506
1493, 78652,2169
1494, 78653,6846
1495, 78654,6978
1496, 78655,1053
1497, 78656,712
1498, 78657,2565
1499, 78659,970
1500, 78660,29945
1501, 78661,136
1502, 78662,863
1503, 78663,340
1504, 78664,20075
1505, 78665,14639
1506, 78666,28183
1507, 78669,4459
1508, 78670,51
1509, 78671,354
1510, 78672,571
1511, 78675,137
1512, 78676,5476
1513, 78677,8
1514, 78681,17105
1515, 78701,5571
1516, 78702,9287
1517, 78703,9479
1518, 78704,24115
1519, 78705,8559
1520, 78712,0
1521, 78717,10347
1522, 78719,447
1523, 78721,4278
1524, 78722,3107
1525, 78723,13000
1526, 78724,6458
1527, 78725,2620
1528, 78726,5520
1529, 78727,13242
1530, 78728,9997
1531, 78729,12483
1532, 78730,3810
1533, 78731,12458
1534, 78732,5831
1535, 78733,2923
1536, 78734,7424
1537, 78735,7352
1538, 78736,3278
1539, 78737,5341
1540, 78738,5977
1541, 78739,6476
1542, 78741,21474
1543, 78742,256
